"Pop_Old","Population","sampleID"
"Pond Inlet","Pond Inlet","AC_01"
"Pond Inlet","Pond Inlet","AC_02"
"Pond Inlet","Pond Inlet","AC_03"
"Pond Inlet","Pond Inlet","AC_04"
"Pond Inlet","Pond Inlet","AC_05"
"Pond Inlet","Pond Inlet","AC_06"
"Pond Inlet","Pond Inlet","AC_07"
"Pond Inlet","Pond Inlet","AC_09"
"Pond Inlet","Pond Inlet","AC_10"
"Pond Inlet","Pond Inlet","AC_12"
"Pond Inlet","Pond Inlet","AC_13"
"Coronation Gulf","Coronation Gulf","AC_14"
"Coronation Gulf","Coronation Gulf","AC_15"
"Coronation Gulf","Coronation Gulf","AC_16"
"Coronation Gulf","Coronation Gulf","AC_17"
"Coronation Gulf","Coronation Gulf","AC_19"
"Coronation Gulf","Coronation Gulf","AC_21"
"Frobisher Bay","Frobisher Bay","AC_34"
"Frobisher Bay","Frobisher Bay","AC_36"
"Southhampton Is","Southhampton Is","AC_40"
"Southhampton Is","Southhampton Is","AC_44"
"Southhampton Is","Southhampton Is","AC_46"
"Southhampton Is","Southhampton Is","AC_47"
"Pond Inlet","Pond Inlet","AC_71"
"Coronation Gulf","Coronation Gulf","AC_73"
"Coronation Gulf","Coronation Gulf","AC_74"
"Coronation Gulf","Coronation Gulf","AC_75"
"Frobisher Bay","Frobisher Bay","AC_76"
"Frobisher Bay","Frobisher Bay","AC_77"
"Frobisher Bay","Frobisher Bay","AC_80"
"Frobisher Bay","Frobisher Bay","AC_82"
"Frobisher Bay","Frobisher Bay","AC_83"
"Southhampton Is","Southhampton Is","AC_90"
"Southhampton Is","Southhampton Is","AC_91"
"Southhampton Is","Southhampton Is","AC_92"
"Southhampton Is","Southhampton Is","AC_93"
"Southhampton Is","Southhampton Is","AC_94"
"Southhampton Is","Southhampton Is","AC_95"
"Southhampton Is","Southhampton Is","AC_97"
"Southhampton Is","Southhampton Is","AC_98"
"Southhampton Is","Southhampton Is","AC_99"
"Frobisher Bay","Frobisher Bay","AC_100"
"Pond Inlet","Pond Inlet","AC_103"
"Pond Inlet","Pond Inlet","AC_104"
"Pond Inlet","Pond Inlet","AC_105"
"Pond Inlet","Pond Inlet","AC_106"
"Frobisher Bay","Frobisher Bay","AC_107"
"Frobisher Bay","Frobisher Bay","AC_115"
"Frobisher Bay","Frobisher Bay","AC_113"
"Frobisher Bay","Frobisher Bay","AC_114"
"Frobisher Bay","Frobisher Bay","AC_116"
"Coronation Gulf","Coronation Gulf","AC_126"
"Coronation Gulf","Coronation Gulf","AC_127"
"Frobisher Bay","Frobisher Bay","AC_119"
"Coronation Gulf","Coronation Gulf","AC_124"
"Frobisher Bay","Frobisher Bay","AC_117"
"Pond Inlet","Pond Inlet","AC_136"
"Coronation Gulf","Coronation Gulf","AC_129"
"Coronation Gulf","Coronation Gulf","AC_132"
"Broughton Island","Broughton Island","AC_138"
"Broughton Island","Broughton Island","AC_137"
"Broughton Island","Broughton Island","AC_140"
"Broughton Island","Broughton Island","AC_144"
"Broughton Island","Broughton Island","AC_139"
"Broughton Island","Broughton Island","AC_142"
"Broughton Island","Broughton Island","AC_141"
"Broughton Island","Broughton Island","AC_148"
"Broughton Island","Broughton Island","AC_146"
"Broughton Island","Broughton Island","AC_147"
"Broughton Island","Broughton Island","AC_145"
"Broughton Island","Broughton Island","AC_149"
"Broughton Island","Broughton Island","AC_162"
"Pond Inlet","Pond Inlet","AC_164"
"Broughton Island","Broughton Island","AC_161"
"Broughton Island","Broughton Island","AC_152"
"Pond Inlet","Pond Inlet","AC_165_2"
"Pond Inlet","Pond Inlet","AC_166"
"Pond Inlet","Pond Inlet","AC_168"
"Pond Inlet","Pond Inlet","AC_167_2"
"Pond Inlet","Pond Inlet","AC_165"
"Pond Inlet","Pond Inlet","AC_167"
"Pond Inlet","Pond Inlet","AC_170"
"UNK","Unknown","AC_178"
"UNK","Unknown","AC_180"
"UNK","Unknown","AC_181"
"UNK","Unknown","AC_182"
"UNK","Unknown","AC_183"
"UNK","Unknown","AC_111"
"UNK","Unknown","AC_184"
"UNK","Unknown","AC_186"
"UNK","Unknown","AC_187"
"Frobisher Bay","Frobisher Bay","PC_06"
"Frobisher Bay","Frobisher Bay","PC_07"
"Frobisher Bay","Frobisher Bay","PC_08"
"EAZ","Southeast Baffin","AC_6630"
"EAZ","Southeast Baffin","AC_6632"
"EAZ","Southeast Baffin","AC_6628"
"EAZ","Southeast Baffin","AC_6629"
"SFA4","Labrador","AC_6637"
